"","Gender","IsMarried","IsPremiumCust","City","JobType","HouseHoldPopulation","CurrentPlan","AccType","Movie1","Movie2","Movie3","Movie4","Movie5","Movie6","Movie7","Movie8","Movie9","Movie10","Salary_cat","Age_Cat","CustSeniority_Cat","CustCat_Names"
"181","Gender-M","IsMarried-N","IsPremiumCust-Y","City-Blore","JobType-GovtOfficial","HouseHoldPopulation-5","CurrentPlan-PlanB","AccType-Single","Movie-The American President","Movie-Waiting to Exhale","Movie-Grumpier Old Men","Movie-Father of the Bride Part II","Movie-Dracula: Dead and Loving It","Movie-Grumpier Old Men","Movie-Dracula: Dead and Loving It","Movie-SuddenDeath","Movie-Tom And Huck","Movie-Heat","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-1","CustCat_Churners"
"182","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Mumbai","JobType-Self","HouseHoldPopulation-5","CurrentPlan-PlanA","AccType-Single","Movie-SuddenDeath","Movie-Balto","Movie-Grumpier Old Men","Movie-GoldenEye","Movie-Toy Story","Movie-Heat","Movie-Sabrina","Movie-Balto","Movie-Waiting to Exhale","Movie-SuddenDeath","Salary_cat-2","Age_Cat-2","CustSeniority_Cat-3","CustCat_Churners"
"183","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Chennai","JobType-Self","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Joint","Movie-Dracula: Dead and Loving It","Movie-Waiting to Exhale","Movie-Heat","Movie-Father of the Bride Part II","Movie-Father of the Bride Part II","Movie-Sabrina","Movie-GoldenEye","Movie-Waiting to Exhale","Movie-Heat","Movie-Dracula: Dead and Loving It","Salary_cat-4","Age_Cat-3","CustSeniority_Cat-2","CustCat_Churners"
"184","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Hyd","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Single","Movie-Heat","Movie-Grumpier Old Men","Movie-Ace Ventura: When Nature Calls","Movie-Jumanji","Movie-Tom And Huck","Movie-Ace Ventura: When Nature Calls","Movie-Heat","Movie-Sabrina","Movie-GoldenEye","Movie-The American President","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-3","CustCat_Churners"
"185","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Blore","JobType-GovtOfficial","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Single","Movie-Balto","Movie-Ace Ventura: When Nature Calls","Movie-Waiting to Exhale","Movie-Nixon","Movie-Sabrina","Movie-Ace Ventura: When Nature Calls","Movie-Toy Story","Movie-Balto","Movie-Balto","Movie-Heat","Salary_cat-3","Age_Cat-1","CustSeniority_Cat-1","CustCat_Churners"
"186","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Noida","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanD","AccType-Joint","Movie-Father of the Bride Part II","Movie-Grumpier Old Men","Movie-Ace Ventura: When Nature Calls","Movie-Ace Ventura: When Nature Calls","Movie-Balto","Movie-Waiting to Exhale","Movie-Nixon","Movie-Sabrina","Movie-GoldenEye","Movie-Nixon","Salary_cat-4","Age_Cat-4","CustSeniority_Cat-1","CustCat_Churners"
"187","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Blore","JobType-Others","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Joint","Movie-Grumpier Old Men","Movie-Toy Story","Movie-Father of the Bride Part II","Movie-Heat","Movie-Heat","Movie-Nixon","Movie-SuddenDeath","Movie-Waiting to Exhale","Movie-Dracula: Dead and Loving It","Movie-Jumanji","Salary_cat-2","Age_Cat-2","CustSeniority_Cat-1","CustCat_Churners"
"188","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Mumbai","JobType-GovtOfficial","HouseHoldPopulation-3","CurrentPlan-PlanB","AccType-Single","Movie-Grumpier Old Men","Movie-Jumanji","Movie-Jumanji","Movie-GoldenEye","Movie-Father of the Bride Part II","Movie-Father of the Bride Part II","Movie-Toy Story","Movie-Tom And Huck","Movie-Ace Ventura: When Nature Calls","Movie-Sabrina","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-1","CustCat_Churners"
"189","Gender-M","IsMarried-N","IsPremiumCust-Y","City-Hyd","JobType-HomeMaker","HouseHoldPopulation-1","CurrentPlan-PlanD","AccType-Single","Movie-Grumpier Old Men","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Balto","Movie-The American President","Movie-Ace Ventura: When Nature Calls","Movie-Dracula: Dead and Loving It","Movie-Nixon","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-3","CustCat_Churners"
"190","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Chennai","JobType-HomeMaker","HouseHoldPopulation-1","CurrentPlan-PlanD","AccType-Joint","Movie-Father of the Bride Part II","Movie-Grumpier Old Men","Movie-GoldenEye","Movie-Tom And Huck","Movie-Tom And Huck","Movie-Dracula: Dead and Loving It","Movie-Dracula: Dead and Loving It","Movie-Ace Ventura: When Nature Calls","Movie-Jumanji","Movie-Heat","Salary_cat-1","Age_Cat-1","CustSeniority_Cat-4","CustCat_Churners"
"191","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Mumbai","JobType-Technology","HouseHoldPopulation-1","CurrentPlan-PlanD","AccType-Single","Movie-The American President","Movie-Nixon","Movie-Balto","Movie-Nixon","Movie-Waiting to Exhale","Movie-Nixon","Movie-Dracula: Dead and Loving It","Movie-Dracula: Dead and Loving It","Movie-SuddenDeath","Movie-Tom And Huck","Salary_cat-3","Age_Cat-4","CustSeniority_Cat-4","CustCat_Churners"
"192","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Chennai","JobType-Technology","HouseHoldPopulation-4","CurrentPlan-PlanC","AccType-Joint","Movie-Waiting to Exhale","Movie-Grumpier Old Men","Movie-Balto","Movie-Father of the Bride Part II","Movie-Sabrina","Movie-Jumanji","Movie-Father of the Bride Part II","Movie-Jumanji","Movie-Waiting to Exhale","Movie-Toy Story","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-3","CustCat_Churners"
"193","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Blore","JobType-GovtOfficial","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Joint","Movie-Heat","Movie-Grumpier Old Men","Movie-Heat","Movie-Heat","Movie-SuddenDeath","Movie-The American President","Movie-Ace Ventura: When Nature Calls","Movie-Waiting to Exhale","Movie-Nixon","Movie-Father of the Bride Part II","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-4","CustCat_Churners"
"194","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Noida","JobType-Technology","HouseHoldPopulation-1","CurrentPlan-PlanC","AccType-Single","Movie-Sabrina","Movie-GoldenEye","Movie-Father of the Bride Part II","Movie-Ace Ventura: When Nature Calls","Movie-GoldenEye","Movie-Heat","Movie-Jumanji","Movie-SuddenDeath","Movie-Waiting to Exhale","Movie-The American President","Salary_cat-4","Age_Cat-4","CustSeniority_Cat-1","CustCat_Frequenters"
"195","Gender-F","IsMarried-N","IsPremiumCust-N","City-Mysore","JobType-GovtOfficial","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Single","Movie-Heat","Movie-Dracula: Dead and Loving It","Movie-Waiting to Exhale","Movie-Balto","Movie-The American President","Movie-Ace Ventura: When Nature Calls","Movie-Waiting to Exhale","Movie-Waiting to Exhale","Movie-Sabrina","Movie-Balto","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-4","CustCat_Frequenters"
"196","Gender-M","IsMarried-N","IsPremiumCust-N","City-Blore","JobType-Others","HouseHoldPopulation-2","CurrentPlan-PlanD","AccType-Joint","Movie-Grumpier Old Men","Movie-Ace Ventura: When Nature Calls","Movie-Tom And Huck","Movie-SuddenDeath","Movie-SuddenDeath","Movie-Toy Story","Movie-Sabrina","Movie-Sabrina","Movie-Jumanji","Movie-Grumpier Old Men","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-1","CustCat_Frequenters"
"197","Gender-F","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-Others","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-Sabrina","Movie-Sabrina","Movie-Waiting to Exhale","Movie-Jumanji","Movie-SuddenDeath","Movie-Nixon","Movie-Tom And Huck","Movie-Sabrina","Movie-Grumpier Old Men","Movie-Jumanji","Salary_cat-4","Age_Cat-3","CustSeniority_Cat-2","CustCat_Frequenters"
"198","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Noida","JobType-Technology","HouseHoldPopulation-2","CurrentPlan-PlanC","AccType-Single","Movie-Sabrina","Movie-Grumpier Old Men","Movie-Father of the Bride Part II","Movie-Nixon","Movie-Father of the Bride Part II","Movie-GoldenEye","Movie-Tom And Huck","Movie-Balto","Movie-Heat","Movie-Ace Ventura: When Nature Calls","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-2","CustCat_Frequenters"
"199","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Chennai","JobType-Self","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Single","Movie-The American President","Movie-Jumanji","Movie-Waiting to Exhale","Movie-Grumpier Old Men","Movie-Nixon","Movie-Heat","Movie-SuddenDeath","Movie-Sabrina","Movie-Father of the Bride Part II","Movie-Nixon","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-2","CustCat_Frequenters"
"200","Gender-F","IsMarried-N","IsPremiumCust-N","City-Blore","JobType-Technology","HouseHoldPopulation-2","CurrentPlan-PlanD","AccType-Joint","Movie-Heat","Movie-The American President","Movie-Tom And Huck","Movie-Tom And Huck","Movie-Tom And Huck","Movie-Father of the Bride Part II","Movie-Ace Ventura: When Nature Calls","Movie-Heat","Movie-Tom And Huck","Movie-Ace Ventura: When Nature Calls","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-2","CustCat_Frequenters"
"201","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Blore","JobType-Technology","HouseHoldPopulation-5","CurrentPlan-PlanC","AccType-Single","Movie-Tom And Huck","Movie-Nixon","Movie-Tom And Huck","Movie-Nixon","Movie-Nixon","Movie-Father of the Bride Part II","Movie-Nixon","Movie-Waiting to Exhale","Movie-Father of the Bride Part II","Movie-Dracula: Dead and Loving It","Salary_cat-3","Age_Cat-4","CustSeniority_Cat-1","CustCat_Frequenters"
"202","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Mysore","JobType-Technology","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Single","Movie-Heat","Movie-Father of the Bride Part II","Movie-Jumanji","Movie-Ace Ventura: When Nature Calls","Movie-Toy Story","Movie-Toy Story","Movie-Toy Story","Movie-Waiting to Exhale","Movie-Heat","Movie-Dracula: Dead and Loving It","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-1","CustCat_Frequenters"
"203","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Hyd","JobType-Others","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Joint","Movie-GoldenEye","Movie-Toy Story","Movie-GoldenEye","Movie-Dracula: Dead and Loving It","Movie-Nixon","Movie-Sabrina","Movie-Father of the Bride Part II","Movie-Jumanji","Movie-Waiting to Exhale","Movie-Jumanji","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-2","CustCat_Frequenters"
"204","Gender-M","IsMarried-N","IsPremiumCust-Y","City-Mumbai","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Single","Movie-Jumanji","Movie-Balto","Movie-Ace Ventura: When Nature Calls","Movie-Dracula: Dead and Loving It","Movie-Jumanji","Movie-Dracula: Dead and Loving It","Movie-Dracula: Dead and Loving It","Movie-Waiting to Exhale","Movie-Nixon","Movie-The American President","Salary_cat-3","Age_Cat-1","CustSeniority_Cat-3","CustCat_Frequenters"
"205","Gender-F","IsMarried-N","IsPremiumCust-N","City-Hyd","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanD","AccType-Joint","Movie-Ace Ventura: When Nature Calls","Movie-Sabrina","Movie-Father of the Bride Part II","Movie-Father of the Bride Part II","Movie-The American President","Movie-GoldenEye","Movie-Waiting to Exhale","Movie-Ace Ventura: When Nature Calls","Movie-Grumpier Old Men","Movie-The American President","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-2","CustCat_Frequenters"
"206","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Chennai","JobType-Technology","HouseHoldPopulation-2","CurrentPlan-PlanD","AccType-Single","Movie-Sabrina","Movie-Sabrina","Movie-Jumanji","Movie-Ace Ventura: When Nature Calls","Movie-Sabrina","Movie-Waiting to Exhale","Movie-Balto","Movie-Toy Story","Movie-Toy Story","Movie-Nixon","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-2","CustCat_Frequenters"
"207","Gender-M","IsMarried-N","IsPremiumCust-Y","City-Mysore","JobType-Others","HouseHoldPopulation-1","CurrentPlan-PlanD","AccType-Single","Movie-Heat","Movie-Heat","Movie-Tom And Huck","Movie-The American President","Movie-Heat","Movie-Tom And Huck","Movie-Toy Story","Movie-Tom And Huck","Movie-Balto","Movie-Tom And Huck","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-2","CustCat_Frequenters"
"208","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Mysore","JobType-Others","HouseHoldPopulation-4","CurrentPlan-PlanA","AccType-Joint","Movie-The American President","Movie-Sabrina","Movie-Grumpier Old Men","Movie-Nixon","Movie-Balto","Movie-Grumpier Old Men","Movie-Jumanji","Movie-Sabrina","Movie-Tom And Huck","Movie-Tom And Huck","Salary_cat-1","Age_Cat-1","CustSeniority_Cat-3","CustCat_Frequenters"
"209","Gender-F","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-Others","HouseHoldPopulation-5","CurrentPlan-PlanC","AccType-Joint","Movie-Dracula: Dead and Loving It","Movie-Waiting to Exhale","Movie-Waiting to Exhale","Movie-The American President","Movie-Dracula: Dead and Loving It","Movie-Nixon","Movie-Waiting to Exhale","Movie-Sabrina","Movie-Waiting to Exhale","Movie-GoldenEye","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-3","CustCat_Frequenters"
"210","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Hyd","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanC","AccType-Joint","Movie-Toy Story","Movie-Tom And Huck","Movie-Sabrina","Movie-Dracula: Dead and Loving It","Movie-Father of the Bride Part II","Movie-Nixon","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Sabrina","Movie-Balto","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-3","CustCat_Frequenters"
"211","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Mumbai","JobType-Self","HouseHoldPopulation-4","CurrentPlan-PlanC","AccType-Joint","Movie-Jumanji","Movie-Waiting to Exhale","Movie-Waiting to Exhale","Movie-Waiting to Exhale","Movie-Dracula: Dead and Loving It","Movie-Balto","Movie-Nixon","Movie-Tom And Huck","Movie-Tom And Huck","Movie-Grumpier Old Men","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-3","CustCat_Frequenters"
"212","Gender-F","IsMarried-N","IsPremiumCust-N","City-Blore","JobType-Self","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Joint","Movie-Tom And Huck","Movie-Balto","Movie-Father of the Bride Part II","Movie-Heat","Movie-Jumanji","Movie-Jumanji","Movie-Toy Story","Movie-Father of the Bride Part II","Movie-Waiting to Exhale","Movie-Jumanji","Salary_cat-2","Age_Cat-4","CustSeniority_Cat-2","CustCat_Frequenters"
"213","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Chennai","JobType-Self","HouseHoldPopulation-5","CurrentPlan-PlanC","AccType-Joint","Movie-Dracula: Dead and Loving It","Movie-The American President","Movie-Heat","Movie-Heat","Movie-Nixon","Movie-Ace Ventura: When Nature Calls","Movie-Nixon","Movie-The American President","Movie-Heat","Movie-Father of the Bride Part II","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-3","CustCat_Frequenters"
"214","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Noida","JobType-HomeMaker","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Joint","Movie-Grumpier Old Men","Movie-GoldenEye","Movie-Dracula: Dead and Loving It","Movie-Jumanji","Movie-Toy Story","Movie-Dracula: Dead and Loving It","Movie-Waiting to Exhale","Movie-Toy Story","Movie-Father of the Bride Part II","Movie-Jumanji","Salary_cat-1","Age_Cat-1","CustSeniority_Cat-3","CustCat_Frequenters"
"215","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Mysore","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Single","Movie-Ace Ventura: When Nature Calls","Movie-Tom And Huck","Movie-Grumpier Old Men","Movie-Waiting to Exhale","Movie-Waiting to Exhale","Movie-Heat","Movie-SuddenDeath","Movie-Father of the Bride Part II","Movie-Tom And Huck","Movie-Jumanji","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-1","CustCat_Frequenters"
"216","Gender-M","IsMarried-N","IsPremiumCust-N","City-Blore","JobType-Technology","HouseHoldPopulation-1","CurrentPlan-PlanA","AccType-Joint","Movie-Toy Story","Movie-Grumpier Old Men","Movie-The American President","Movie-Heat","Movie-Ace Ventura: When Nature Calls","Movie-Grumpier Old Men","Movie-GoldenEye","Movie-Ace Ventura: When Nature Calls","Movie-Tom And Huck","Movie-Ace Ventura: When Nature Calls","Salary_cat-3","Age_Cat-4","CustSeniority_Cat-1","CustCat_Frequenters"
"217","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Hyd","JobType-Self","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Single","Movie-SuddenDeath","Movie-Toy Story","Movie-GoldenEye","Movie-Ace Ventura: When Nature Calls","Movie-Dracula: Dead and Loving It","Movie-Grumpier Old Men","Movie-GoldenEye","Movie-Father of the Bride Part II","Movie-Sabrina","Movie-Grumpier Old Men","Salary_cat-1","Age_Cat-1","CustSeniority_Cat-3","CustCat_Frequenters"
"218","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Chennai","JobType-Technology","HouseHoldPopulation-1","CurrentPlan-PlanA","AccType-Joint","Movie-Heat","Movie-Nixon","Movie-Toy Story","Movie-Jumanji","Movie-Dracula: Dead and Loving It","Movie-GoldenEye","Movie-Waiting to Exhale","Movie-Sabrina","Movie-Tom And Huck","Movie-Toy Story","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-1","CustCat_Frequenters"
"219","Gender-F","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-Others","HouseHoldPopulation-3","CurrentPlan-PlanB","AccType-Joint","Movie-Ace Ventura: When Nature Calls","Movie-Tom And Huck","Movie-GoldenEye","Movie-Grumpier Old Men","Movie-Nixon","Movie-Dracula: Dead and Loving It","Movie-Sabrina","Movie-Tom And Huck","Movie-Dracula: Dead and Loving It","Movie-The American President","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-1","CustCat_Frequenters"
"220","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Mysore","JobType-Technology","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Single","Movie-Toy Story","Movie-Dracula: Dead and Loving It","Movie-Nixon","Movie-Grumpier Old Men","Movie-Waiting to Exhale","Movie-The American President","Movie-Sabrina","Movie-Balto","Movie-Grumpier Old Men","Movie-Heat","Salary_cat-2","Age_Cat-4","CustSeniority_Cat-2","CustCat_Frequenters"
"221","Gender-F","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-Self","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Single","Movie-Jumanji","Movie-Sabrina","Movie-Dracula: Dead and Loving It","Movie-Heat","Movie-Waiting to Exhale","Movie-SuddenDeath","Movie-Toy Story","Movie-Balto","Movie-Dracula: Dead and Loving It","Movie-Ace Ventura: When Nature Calls","Salary_cat-4","Age_Cat-2","CustSeniority_Cat-2","CustCat_Frequenters"
"222","Gender-M","IsMarried-N","IsPremiumCust-Y","City-Mumbai","JobType-GovtOfficial","HouseHoldPopulation-3","CurrentPlan-PlanB","AccType-Joint","Movie-SuddenDeath","Movie-Balto","Movie-Father of the Bride Part II","Movie-Waiting to Exhale","Movie-Waiting to Exhale","Movie-Tom And Huck","Movie-Ace Ventura: When Nature Calls","Movie-Toy Story","Movie-Father of the Bride Part II","Movie-Grumpier Old Men","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-2","CustCat_Frequenters"
"223","Gender-M","IsMarried-N","IsPremiumCust-N","City-Hyd","JobType-GovtOfficial","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-Heat","Movie-SuddenDeath","Movie-SuddenDeath","Movie-Toy Story","Movie-Waiting to Exhale","Movie-Waiting to Exhale","Movie-GoldenEye","Movie-Toy Story","Movie-GoldenEye","Movie-Waiting to Exhale","Salary_cat-4","Age_Cat-4","CustSeniority_Cat-2","CustCat_Frequenters"
"224","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Mumbai","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanA","AccType-Single","Movie-Jumanji","Movie-GoldenEye","Movie-Father of the Bride Part II","Movie-Waiting to Exhale","Movie-Jumanji","Movie-Balto","Movie-Tom And Huck","Movie-Father of the Bride Part II","Movie-SuddenDeath","Movie-The American President","Salary_cat-3","Age_Cat-1","CustSeniority_Cat-1","CustCat_Frequenters"
"225","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Blore","JobType-Others","HouseHoldPopulation-5","CurrentPlan-PlanB","AccType-Joint","Movie-Heat","Movie-Ace Ventura: When Nature Calls","Movie-GoldenEye","Movie-GoldenEye","Movie-Ace Ventura: When Nature Calls","Movie-Sabrina","Movie-Heat","Movie-Balto","Movie-Balto","Movie-Heat","Salary_cat-3","Age_Cat-1","CustSeniority_Cat-2","CustCat_Frequenters"
"226","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Hyd","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanD","AccType-Single","Movie-Heat","Movie-SuddenDeath","Movie-Grumpier Old Men","Movie-Grumpier Old Men","Movie-Toy Story","Movie-Heat","Movie-SuddenDeath","Movie-SuddenDeath","Movie-Toy Story","Movie-Waiting to Exhale","Salary_cat-1","Age_Cat-3","CustSeniority_Cat-2","CustCat_Frequenters"
"227","Gender-F","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-GovtOfficial","HouseHoldPopulation-3","CurrentPlan-PlanA","AccType-Joint","Movie-SuddenDeath","Movie-Dracula: Dead and Loving It","Movie-Father of the Bride Part II","Movie-Balto","Movie-Balto","Movie-Dracula: Dead and Loving It","Movie-Toy Story","Movie-Balto","Movie-SuddenDeath","Movie-Father of the Bride Part II","Salary_cat-3","Age_Cat-1","CustSeniority_Cat-4","CustCat_Frequenters"
"228","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Blore","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Single","Movie-GoldenEye","Movie-Dracula: Dead and Loving It","Movie-Balto","Movie-The American President","Movie-Father of the Bride Part II","Movie-Ace Ventura: When Nature Calls","Movie-Ace Ventura: When Nature Calls","Movie-Toy Story","Movie-Grumpier Old Men","Movie-SuddenDeath","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-3","CustCat_Spenders"
"229","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Noida","JobType-Self","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Single","Movie-Toy Story","Movie-Grumpier Old Men","Movie-Jumanji","Movie-Sabrina","Movie-Toy Story","Movie-Jumanji","Movie-Toy Story","Movie-Grumpier Old Men","Movie-Father of the Bride Part II","Movie-Ace Ventura: When Nature Calls","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-4","CustCat_Spenders"
"230","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Chennai","JobType-Others","HouseHoldPopulation-2","CurrentPlan-PlanB","AccType-Joint","Movie-Father of the Bride Part II","Movie-The American President","Movie-SuddenDeath","Movie-SuddenDeath","Movie-Nixon","Movie-Balto","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-SuddenDeath","Movie-Sabrina","Salary_cat-4","Age_Cat-3","CustSeniority_Cat-4","CustCat_Spenders"
"231","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Noida","JobType-Technology","HouseHoldPopulation-5","CurrentPlan-PlanB","AccType-Joint","Movie-Tom And Huck","Movie-Dracula: Dead and Loving It","Movie-Toy Story","Movie-Dracula: Dead and Loving It","Movie-Jumanji","Movie-Ace Ventura: When Nature Calls","Movie-The American President","Movie-SuddenDeath","Movie-The American President","Movie-Waiting to Exhale","Salary_cat-1","Age_Cat-1","CustSeniority_Cat-1","CustCat_Spenders"
"232","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Noida","JobType-GovtOfficial","HouseHoldPopulation-5","CurrentPlan-PlanB","AccType-Joint","Movie-Waiting to Exhale","Movie-Grumpier Old Men","Movie-Balto","Movie-Sabrina","Movie-Waiting to Exhale","Movie-Nixon","Movie-Ace Ventura: When Nature Calls","Movie-Dracula: Dead and Loving It","Movie-Ace Ventura: When Nature Calls","Movie-Ace Ventura: When Nature Calls","Salary_cat-2","Age_Cat-2","CustSeniority_Cat-1","CustCat_Spenders"
"233","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Hyd","JobType-Others","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Single","Movie-Ace Ventura: When Nature Calls","Movie-Grumpier Old Men","Movie-Jumanji","Movie-Jumanji","Movie-Dracula: Dead and Loving It","Movie-Nixon","Movie-The American President","Movie-Father of the Bride Part II","Movie-Balto","Movie-Heat","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-1","CustCat_Spenders"
"234","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Noida","JobType-GovtOfficial","HouseHoldPopulation-2","CurrentPlan-PlanC","AccType-Single","Movie-Toy Story","Movie-SuddenDeath","Movie-Sabrina","Movie-Heat","Movie-Heat","Movie-Tom And Huck","Movie-Toy Story","Movie-Father of the Bride Part II","Movie-Waiting to Exhale","Movie-Grumpier Old Men","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-3","CustCat_Spenders"
"235","Gender-M","IsMarried-N","IsPremiumCust-Y","City-Mumbai","JobType-Others","HouseHoldPopulation-1","CurrentPlan-PlanD","AccType-Single","Movie-Sabrina","Movie-The American President","Movie-Sabrina","Movie-Jumanji","Movie-Jumanji","Movie-Heat","Movie-Grumpier Old Men","Movie-Waiting to Exhale","Movie-Grumpier Old Men","Movie-Nixon","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-3","CustCat_Spenders"
"236","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Hyd","JobType-HomeMaker","HouseHoldPopulation-3","CurrentPlan-PlanA","AccType-Single","Movie-Toy Story","Movie-SuddenDeath","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-SuddenDeath","Movie-Jumanji","Movie-Tom And Huck","Movie-Jumanji","Movie-Balto","Movie-Father of the Bride Part II","Salary_cat-1","Age_Cat-1","CustSeniority_Cat-1","CustCat_Spenders"
"237","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Mysore","JobType-GovtOfficial","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Single","Movie-Waiting to Exhale","Movie-The American President","Movie-Toy Story","Movie-Grumpier Old Men","Movie-Toy Story","Movie-Heat","Movie-Jumanji","Movie-Grumpier Old Men","Movie-GoldenEye","Movie-The American President","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-3","CustCat_Spenders"
